perfil,dia,fonte,posicao,posicao_mmr,canal,tema,titulo,url
P2,2,NEXT,1,1,Vane Fit,FITNESS,GORDURA NAS COSTAS? Treino pra TONIFICAR,https://youtu.be/33u3Ttoc2qo?si=k1SHsPNt2o2B1GBw
P2,2,NEXT,2,2,Habilidades Culinarias,FITNESS,SUCO DE MILHO CREMOSO DE VERDADE,https://youtu.be/U2iB9UStKoM?si=ZH7lfEM54hlXLv1t
P2,2,NEXT,3,3,Dra. Elisa Martins,FITNESS,Cafe sem Acucar aos 60+,https://youtu.be/GZSJCuxWJBA?si=DigOtaoGxOwKyRR2
P2,2,NEXT,4,4,Tay Training,FITNESS,Treino PESADO para CRESCER,https://youtu.be/ZrHMKIGWBf8?si=eMuwEJ7lWizfCQiC
P2,2,NEXT,5,5,Dayanne Lins,FITNESS,Basta 1 copo por dia,https://youtu.be/EOgW0NLhmoI?si=TMCMkciyVZacTVAc
P2,2,NEXT,6,6,"Treino, Simples.",FITNESS,O Que Acontece Se Voce Fizer Prancha de 2 Minutos Todos os dias,https://youtu.be/p4v5Kkr8UOA?si=V_0DlctL9UgNzYUT
P2,2,NEXT,7,7,Leiner Alves,FITNESS,TREINO COMPLETO ,https://youtu.be/Xe7i33ImuWc?si=KGIXdwbF33B51SXr
P2,2,NEXT,9,8,Nutricionista Patricia Leite,FITNESS,CAFE DA MANHA PERFEITO!,https://youtu.be/NkdTJpY6MyY?si=LEt0sGdUZIyg4qvG
P2,2,NEXT,10,9,Philipe PersoNutri - Treino em casa,FITNESS,ALONGAMENTO ANTES DO TREINO,https://youtu.be/-zsEl_fPNec?si=6xjxXQ2CHbpZKDca
P2,2,NEXT,8,10,Dayanne Lins,FITNESS,Voce NUNCA comeu TOMATE ASSIM,https://youtu.be/5X5ANCOqwi4?si=E_9R73hg288VTXg2
P2,3,HOME,1,1,Kiny,FITNESS,PLANO SEMANAL DE TREINO,https://youtu.be/SqldX6X5RGs?si=YnWPJh3TJPWz-c8U
P2,3,HOME,2,2,Pat Machadu,FITNESS,Como CRIAR CANAL e comecar no Youtube do jeito certo (2026),https://youtu.be/K5AXdMMzSDs?si=Gq77_lSstmlZjgcL
P2,3,HOME,3,3,O Estoico Sabio,FITNESS,"ESTUDE, TREINE, CALE-SE: Torne-se IRRECONHECIVEL",https://youtu.be/FSrVJaVtp0g?si=_7P5GsgxOYSjs6IT
P2,3,HOME,4,4,Mariana Santos,FITNESS,Eu IMPLORO para voce organizar sua vida,https://youtu.be/U1bt0SBdfJo?si=fYDYbtfgcT0VaHba
P2,3,HOME,5,5,Vane Fit,FITNESS,BRACOS DEFINIDOS EM 20 minutos - Treino em casa,https://youtu.be/FngDojKgkJM?si=Bgi595yA8bBSCm2v
P2,3,HOME,6,6,Camila sem gluten,FITNESS,PREPARANDO 20 MARMITAS POR R$115 ,https://youtu.be/RLAppOo9JMg?si=bUQS8vCdOOJsQ6ba
P2,3,HOME,7,7,Thali na Rotina,FITNESS,COMO DIVIDIR OS TREINOS EM CASA?,https://youtu.be/u3kIHWkH6wA?si=DPQ8p2-jaO8KZtLl
